#Coverage	Number of genomic locations
1081.0	711.0
1082.0	832.0
1083.0	816.0
1084.0	777.0
1085.0	764.0
1086.0	774.0
1087.0	781.0
1088.0	748.0
1089.0	713.0
1090.0	685.0
1091.0	758.0
1092.0	698.0
1093.0	698.0
1094.0	757.0
1095.0	746.0
1096.0	716.0
1097.0	751.0
1098.0	730.0
1099.0	740.0
1100.0	746.0
1101.0	708.0
1102.0	701.0
1103.0	704.0
1104.0	711.0
1105.0	649.0
1106.0	685.0
1107.0	686.0
1108.0	681.0
1109.0	707.0
1110.0	697.0
1111.0	691.0
1112.0	668.0
1113.0	655.0
1114.0	696.0
1115.0	649.0
1116.0	641.0
1117.0	661.0
1118.0	625.0
1119.0	664.0
1120.0	662.0
1121.0	650.0
1122.0	628.0
1123.0	651.0
1124.0	652.0
1125.0	647.0
1126.0	651.0
1127.0	586.0
1128.0	613.0
1129.0	581.0
1130.0	567.0
1131.0	593.0
1132.0	627.0
1133.0	583.0
1134.0	623.0
1135.0	593.0
1136.0	619.0
1137.0	569.0
1138.0	576.0
1139.0	602.0
1140.0	596.0
1141.0	595.0
1142.0	583.0
1143.0	558.0
1144.0	570.0
1145.0	544.0
1146.0	582.0
1147.0	587.0
1148.0	566.0
1149.0	552.0
1150.0	569.0
1151.0	544.0
1152.0	601.0
1153.0	564.0
1154.0	562.0
1155.0	585.0
1156.0	566.0
1157.0	537.0
1158.0	509.0
1159.0	543.0
1160.0	542.0
1161.0	530.0
1162.0	529.0
1163.0	508.0
1164.0	493.0
1165.0	520.0
1166.0	516.0
1167.0	518.0
1168.0	505.0
1169.0	509.0
1170.0	522.0
1171.0	497.0
1172.0	505.0
1173.0	527.0
1174.0	496.0
1175.0	511.0
1176.0	530.0
1177.0	514.0
1178.0	493.0
1179.0	500.0
1180.0	473.0
1181.0	454.0
1182.0	450.0
1183.0	473.0
1184.0	468.0
1185.0	481.0
1186.0	481.0
1187.0	477.0
1188.0	464.0
1189.0	481.0
1190.0	481.0
1191.0	486.0
1192.0	459.0
1193.0	433.0
1194.0	514.0
1195.0	499.0
1196.0	449.0
1197.0	482.0
1198.0	459.0
1199.0	483.0
1200.0	479.0
1201.0	471.0
1202.0	455.0
1203.0	419.0
1204.0	487.0
1205.0	471.0
1206.0	427.0
1207.0	435.0
1208.0	433.0
1209.0	449.0
1210.0	432.0
1211.0	401.0
1212.0	426.0
1213.0	438.0
1214.0	431.0
1215.0	461.0
1216.0	415.0
1217.0	405.0
1218.0	427.0
1219.0	417.0
1220.0	392.0
1221.0	376.0
1222.0	393.0
1223.0	406.0
1224.0	422.0
1225.0	380.0
1226.0	400.0
1227.0	396.0
1228.0	413.0
1229.0	363.0
1230.0	375.0
1231.0	400.0
1232.0	385.0
1233.0	393.0
1234.0	418.0
1235.0	394.0
1236.0	378.0
1237.0	391.0
1238.0	399.0
1239.0	390.0
1240.0	367.0
1241.0	384.0
1242.0	364.0
1243.0	389.0
1244.0	384.0
1245.0	374.0
1246.0	403.0
1247.0	363.0
1248.0	371.0
1249.0	370.0
1250.0	397.0
1251.0	359.0
1252.0	363.0
1253.0	376.0
1254.0	378.0
1255.0	349.0
1256.0	384.0
1257.0	414.0
1258.0	365.0
1259.0	376.0
1260.0	346.0
1261.0	375.0
1262.0	368.0
1263.0	391.0
1264.0	337.0
1265.0	357.0
1266.0	340.0
1267.0	358.0
1268.0	387.0
1269.0	350.0
1270.0	316.0
1271.0	379.0
1272.0	346.0
1273.0	364.0
1274.0	332.0
1275.0	366.0
1276.0	374.0
1277.0	360.0
1278.0	352.0
1279.0	337.0
1280.0	330.0
1281.0	346.0
1282.0	306.0
1283.0	328.0
1284.0	336.0
1285.0	340.0
1286.0	332.0
1287.0	344.0
1288.0	323.0
1289.0	335.0
1290.0	333.0
1291.0	384.0
1292.0	340.0
1293.0	320.0
1294.0	347.0
1295.0	325.0
1296.0	315.0
1297.0	326.0
1298.0	310.0
1299.0	350.0
1300.0	322.0
1301.0	346.0
1302.0	346.0
1303.0	314.0
1304.0	340.0
1305.0	381.0
1306.0	319.0
1307.0	339.0
1308.0	356.0
1309.0	316.0
1310.0	338.0
1311.0	343.0
1312.0	328.0
1313.0	318.0
1314.0	336.0
1315.0	347.0
1316.0	322.0
1317.0	333.0
1318.0	321.0
1319.0	319.0
1320.0	325.0
1321.0	295.0
1322.0	295.0
1323.0	310.0
1324.0	299.0
1325.0	286.0
1326.0	305.0
1327.0	287.0
1328.0	302.0
1329.0	282.0
1330.0	291.0
1331.0	270.0
1332.0	305.0
1333.0	266.0
1334.0	264.0
1335.0	280.0
1336.0	283.0
1337.0	277.0
1338.0	308.0
1339.0	262.0
1340.0	306.0
1341.0	323.0
1342.0	324.0
1343.0	275.0
1344.0	265.0
1345.0	284.0
1346.0	269.0
1347.0	289.0
1348.0	272.0
1349.0	275.0
1350.0	282.0
1351.0	262.0
1352.0	271.0
1353.0	250.0
1354.0	266.0
1355.0	270.0
1356.0	229.0
1357.0	244.0
1358.0	249.0
1359.0	249.0
1360.0	280.0
1361.0	266.0
1362.0	234.0
1363.0	236.0
1364.0	275.0
1365.0	267.0
1366.0	250.0
1367.0	265.0
1368.0	257.0
1369.0	273.0
1370.0	251.0
1371.0	233.0
1372.0	236.0
1373.0	254.0
1374.0	233.0
1375.0	254.0
1376.0	234.0
1377.0	215.0
1378.0	258.0
1379.0	256.0
1380.0	242.0
1381.0	252.0
1382.0	230.0
1383.0	223.0
1384.0	247.0
1385.0	240.0
1386.0	231.0
1387.0	245.0
1388.0	227.0
1389.0	267.0
1390.0	230.0
1391.0	232.0
1392.0	223.0
1393.0	214.0
1394.0	200.0
1395.0	217.0
1396.0	235.0
1397.0	195.0
1398.0	193.0
1399.0	204.0
1400.0	230.0
1401.0	221.0
1402.0	191.0
1403.0	231.0
1404.0	211.0
1405.0	208.0
1406.0	205.0
1407.0	191.0
1408.0	199.0
1409.0	210.0
1410.0	214.0
1411.0	205.0
1412.0	178.0
1413.0	204.0
1414.0	206.0
1415.0	204.0
1416.0	198.0
1417.0	166.0
1418.0	208.0
1419.0	189.0
1420.0	176.0
1421.0	199.0
1422.0	196.0
1423.0	163.0
1424.0	211.0
1425.0	222.0
1426.0	215.0
1427.0	205.0
1428.0	211.0
1429.0	187.0
1430.0	197.0
1431.0	224.0
1432.0	215.0
1433.0	202.0
1434.0	223.0
1435.0	178.0
1436.0	220.0
1437.0	222.0
1438.0	212.0
1439.0	201.0
1440.0	207.0
1441.0	189.0
1442.0	180.0
1443.0	193.0
1444.0	204.0
1445.0	192.0
1446.0	189.0
1447.0	193.0
1448.0	190.0
1449.0	195.0
1450.0	180.0
1451.0	182.0
1452.0	197.0
1453.0	206.0
1454.0	188.0
1455.0	179.0
1456.0	228.0
1457.0	181.0
1458.0	166.0
1459.0	160.0
1460.0	191.0
1461.0	178.0
1462.0	163.0
1463.0	160.0
1464.0	182.0
1465.0	192.0
1466.0	162.0
1467.0	172.0
1468.0	183.0
1469.0	212.0
1470.0	193.0
1471.0	168.0
1472.0	194.0
1473.0	174.0
1474.0	162.0
1475.0	189.0
1476.0	194.0
1477.0	197.0
1478.0	180.0
1479.0	176.0
1480.0	183.0
1481.0	186.0
1482.0	184.0
1483.0	185.0
1484.0	194.0
1485.0	185.0
1486.0	179.0
1487.0	184.0
1488.0	171.0
1489.0	178.0
1490.0	193.0
1491.0	161.0
1492.0	175.0
1493.0	136.0
1494.0	172.0
1495.0	184.0
1496.0	180.0
1497.0	183.0
1498.0	172.0
1499.0	163.0
1500.0	160.0
1501.0	159.0
1502.0	166.0
1503.0	151.0
1504.0	167.0
1505.0	158.0
1506.0	177.0
1507.0	199.0
1508.0	157.0
1509.0	176.0
1510.0	137.0
1511.0	148.0
1512.0	149.0
1513.0	163.0
1514.0	158.0
1515.0	147.0
1516.0	164.0
1517.0	127.0
1518.0	158.0
1519.0	138.0
1520.0	151.0
1521.0	150.0
1522.0	140.0
1523.0	160.0
1524.0	160.0
1525.0	133.0
1526.0	189.0
1527.0	139.0
1528.0	146.0
1529.0	171.0
1530.0	164.0
1531.0	150.0
1532.0	142.0
1533.0	172.0
1534.0	163.0
1535.0	152.0
1536.0	137.0
